TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_patient_id	 total_used_num	 if_start_state_restrict	 start_state_id	             if_meal_restrict	 arg_total_r_thre	 arg_generate_train_trace_num	 total_test_trace_num	 arg_min_cgm	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 exp_id
41	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	11	
42	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	12	
43	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	13	
44	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	14	
45	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	15	
46	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	16	
47	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	17	
48	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	18	
49	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	19	
50	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	20	
51	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	21	
52	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	22	
53	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	23	
54	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	24	
55	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	25	
56	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	26	
57	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	27	
58	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	28	
59	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	29	
60	5000	0.5	600	1	50	1e-05	-1.0	                            1	8	36	0	0	                0	20.0	1	10	65.0	5	3	-1.0	                20	1	1	0	0	30	
